Basin,Geounit,Country,FacilityNamewithFacilityID,BusinessLine,ModelID,SerialNo,CalibrationFrequencyinMonth,DateofLastCalibrationTest,CalibrationComplianceIndicator,LeakTestFrequencyinMonth,DateofLastLeakTest,LeakTestComplianceIndicator,LastLeakTestResultRecorded,LeakTestResultComplianceIndicator,ConfirmationInventoryFrequency,Dateoflastconfirmationinvtest,Dateofnextconfirmationinvtest,PhotoInventoryFrequency,DateofLastPhotoInvtest,DateofNextPhotoInvtest,ConfirmationPhotoComplianceIndicator,Located,PhysicalLocation,PAUControlSite
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,EQ-602-2174,I3-448,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,2022-05-31,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,EQ-602-2174,I3-454,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,2022-05-31,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,Receiving,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,EQ-602-2174,I3-474,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,2022-05-31,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,Receiving,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,EQ-602-2174,I3-488,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,2022-05-31,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,AWATLM - Maintenance,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,EQ-602-2174,I4-813,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,2022-05-31,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,Receiving,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,EQ-602-2174,I4-980,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,2022-06-16,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,AWATLM - IST,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,EQ-602-2174,I6-404,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,2022-06-16,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,AWATLM - IST,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,EQ-602-2174,I7-396,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,2021-10-11,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,AWATLM - Maintenance,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,EQ-602-2174,I7-405,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,2022-05-31,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,,Shop,ASIA-APG-AWATLM
ASIA-ASIA,APG,Australia,Jandakot Base OFS Operating Base - 8509,WCM,EQ-602-2174,I9-262,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,2022-05-31,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,,Shop,ASIA-APG-AWATLM
