Basin,Geounit,Country,Facility Name with Facility ID,Business Line,Model ID,Serial No,Calibration Frequency in Month,Date of Last Calibration Test,Calibration Compliance Indicator,Leak Test Frequency in Month,Date of Last Leak Test,Leak Test Compliance Indicator,Last Leak Test Result Recorded,Leak Test Result Compliance Indicator,Confirmation Inventory Frequency,Date of last confirmation inv test,Date of next confirmation inv test,Photo Inventory Frequency,Date of Last Photo Inv test,Date of Next Photo Inv test,Confirmation & Photo Compliance Indicator,Located,Physical Location,PAU / Countrol site
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,GGLS-FZ|A3433,,(No Record),Non Compliance,12 Month,17-Jun-22,Compliance,25-Aug-22,Compliance,3Month,19-Jan-23,19-Apr-23,12Month,12-Aug-22,12-Aug-23,Action Needed,SP_JiangHan,Job,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,GGLS-FZ|A3437,,5-May-19,Non Compliance,12 Month,23-Aug-22,Compliance,26-Sep-22,Compliance,3Month,19-Jan-23,19-Apr-23,12Month,23-Aug-22,23-Aug-23,Action Needed,SP_JiangHan,Job,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,GGLS-FZ|A3448,,(No Record),Non Compliance,12 Month,23-Aug-22,Compliance,26-Sep-22,Compliance,3Month,19-Jan-23,19-Apr-23,12Month,23-Aug-22,23-Aug-23,Action Needed,SP_JiangHan,Job,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,GGLS-FZ|A3454,,(No Record),Non Compliance,12 Month,13-Jun-22,Compliance,25-Aug-22,Compliance,3Month,19-Jan-23,19-Apr-23,12Month,26-Jul-22,26-Jul-23,Action Needed,SP_JiangHan,Job,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,GGLS-FZ|A3499,,(No Record),Non Compliance,12 Month,17-Jun-22,Compliance,25-Aug-22,Compliance,3Month,15-Feb-23,15-May-23,12Month,17-Jun-22,17-Jun-23,Compliance,SP_JiangHan,Job,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,GGLS-FZ|A3505,,(No Record),Non Compliance,12 Month,21-Jul-22,Compliance,26-Sep-22,Compliance,3Month,15-Feb-23,15-May-23,12Month,21-Jul-22,21-Jul-23,Compliance,SP_JiangHan,Job,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,GPV-V|4790,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,27-Jan-21,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,SHOP,Shop,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,GSR-J|3901,,14-Mar-10,Non Compliance,12 Month,18-Feb-23,Compliance,18-Feb-23,Compliance,3Month,18-Feb-23,18-May-23,12Month,27-Aug-22,27-Aug-23,Compliance,NU90_SHOP,NU,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,GSR-J|4790,,6-May-11,Non Compliance,12 Month,20-Aug-22,Compliance,26-Sep-22,Compliance,3Month,14-Mar-23,14-Jun-23,12Month,20-Aug-22,20-Aug-23,Compliance,SHOP,Shop,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,GSR-J|A5498,,12-Feb-14,Non Compliance,12 Month,19-Sep-22,Compliance,28-Feb-23,Compliance,3Month,3-Mar-23,3-Jun-23,12Month,19-Sep-22,19-Sep-23,Compliance,NU90_SHOP,NU,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,GSR-J|A5652,,(No Record),Non Compliance,12 Month,1-Jun-22,Compliance,25-Aug-22,Compliance,3Month,19-Jan-23,19-Apr-23,12Month,15-Aug-22,15-Aug-23,Action Needed,RA PIT_CNLC,,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,GSR-U|N10026,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,15-Feb-23,15-May-23,12Month,12-Jul-22,12-Jul-23,Compliance,RA PIT_CNLC,,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,GSR-U|N10027,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,15-Feb-23,15-May-23,12Month,12-Jul-22,12-Jul-23,Compliance,RA PIT_CNLC,,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,GSR-U|N10068,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,15-Feb-23,15-May-23,12Month,12-Jul-22,12-Jul-23,Compliance,RA PIT_CNLC,,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,GSR-U|N10069,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,15-Feb-23,15-May-23,12Month,12-Jul-22,12-Jul-23,Compliance,RA PIT_CNLC,,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,NNLS-EWA|3750,,(No Record),Non Compliance,12 Month,27-Jun-22,Compliance,25-Aug-22,Compliance,3Month,10-Mar-23,10-Jun-23,12Month,10-Mar-23,10-Mar-24,Compliance,CNLC-FIT,Shop,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,NNLS-EWA|4837,,(No Record),Non Compliance,12 Month,17-Jun-22,Compliance,25-Aug-22,Compliance,3Month,19-Jan-23,19-Apr-23,12Month,15-Aug-22,15-Aug-23,Action Needed,RA PIT_CNLC,,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,NNLS-EWA|4838,,(No Record),Non Compliance,12 Month,26-Jul-22,Compliance,26-Sep-22,Compliance,3Month,19-Jan-23,19-Apr-23,12Month,26-Jul-22,26-Jul-23,Action Needed,RA PIT_CNLC,,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,NNLS-EWA|4839,,(No Record),Non Compliance,12 Month,18-Feb-23,Compliance,17-Feb-23,Action Needed,3Month,10-Mar-23,10-Jun-23,12Month,10-Mar-23,10-Mar-24,Compliance,RA PIT_CNLC,,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,NNLS-EWA|5601,,(No Record),Non Compliance,12 Month,15-Aug-22,Compliance,26-Sep-22,Compliance,3Month,19-Jan-23,19-Apr-23,12Month,12-Apr-22,12-Apr-23,Critical,SP_JiangHan,Job,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,NNLS-EWA|FTC-CF-7448,,(No Record),Non Compliance,12 Month,21-Jul-22,Compliance,26-Sep-22,Compliance,3Month,19-Jan-23,19-Apr-23,12Month,21-Jul-22,21-Jul-23,Action Needed,SHOP_CNLC,Shop,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,NPV-MF|G5152,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,3-Mar-19,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,SHOP,Shop,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,NPV-MF|G5238,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,3-Mar-19,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,RA PIT_CNLC,,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,NPV-TL|G4079,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,27-Jan-21,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,SHOP,Shop,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,NPV-TL|G4089,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,3-Mar-19,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,SHOP_CNLC,Shop,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,NPV-UF|G5246,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,3-Mar-19,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,RA PIT_CNLC,,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,NSR-F|3008,,(No Record),Non Compliance,12 Month,26-Sep-22,Compliance,26-Sep-22,Compliance,3Month,15-Feb-23,15-May-23,12Month,12-Aug-22,12-Aug-23,Compliance,RA PIT_CNLC,,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,NSR-F|G5152,,17-Sep-08,Non Compliance,12 Month,12-Aug-22,Compliance,26-Sep-22,Compliance,3Month,19-Jan-23,19-Apr-23,12Month,15-Aug-22,15-Aug-23,Action Needed,SHOP,Shop,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,NSR-F|G5238,,(No Record),Non Compliance,12 Month,18-Feb-23,Compliance,18-Feb-23,Compliance,3Month,18-Feb-23,18-May-23,12Month,27-Aug-22,27-Aug-23,Compliance,RA PIT_CNLC,,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,NSR-F|G5246,,(No Record),Non Compliance,12 Month,15-Feb-23,Compliance,19-Apr-22,Action Needed,3Month,15-Feb-23,15-May-23,12Month,19-Sep-22,19-Sep-23,Compliance,RA PIT_CNLC,,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,NSR-LB|G4079,,(No Record),Non Compliance,12 Month,27-Feb-23,Compliance,9-Mar-22,Action Needed,3Month,27-Feb-23,27-May-23,12Month,27-Feb-23,27-Feb-24,Compliance,SHOP,Shop,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,NSR-LB|G4089,,(No Record),Non Compliance,12 Month,1-Jun-22,Compliance,28-Feb-23,Compliance,3Month,28-Feb-23,31-May-23,12Month,28-Feb-23,29-Feb-24,Compliance,SHOP_CNLC,Shop,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,PNG-AA|1131-50192,,8-Sep-15,Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,15-Feb-23,15-May-23,12Month,20-Sep-22,20-Sep-23,Compliance,SHOP-GPS,Shop,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,PNG-GC|7089-51661,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,15-Feb-23,15-May-23,12Month,27-Aug-22,27-Aug-23,Compliance,PC_Daqing,Shop,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,PNG-GC|7112-52184,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,15-Feb-23,15-May-23,12Month,2-May-22,2-May-23,Compliance,SWOGC_CNLC,Job,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,PNG-GC|7174-52272,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,15-Feb-23,15-May-23,12Month,20-Sep-22,20-Sep-23,Compliance,SHOP,Shop,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,PNG-HB|3077-51273,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,15-Feb-23,15-May-23,12Month,20-Sep-22,20-Sep-23,Compliance,SHOP-GPS,Shop,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,PNG-HB|3081-51280,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,15-Feb-23,15-May-23,12Month,20-Sep-22,20-Sep-23,Compliance,SHOP_CNLC,Shop,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,SM|237450,12 Month,1-Jun-22,Compliance,,(Not Applicable),Non Compliance,(Not Applicable),Ignore Case,,(Not Applicable),(Not Applicable),,(Not Applicable),(Not Applicable),Ignore Case,ROAD-GPS,Job,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPE,,SM|249405,12 Month,12-May-22,Compliance,,(Not Applicable),Non Compliance,(Not Applicable),Ignore Case,,(Not Applicable),(Not Applicable),,(Not Applicable),(Not Applicable),Ignore Case,SHOP-GPS,Shop,CNCDU-WLES
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPS,LB7445/CDC810,2402,,(No Record),Non Compliance,36 Month,25-Jan-22,Compliance,25-Jan-22,Compliance,3Month,28-Dec-22,28-Mar-23,12Month,28-Dec-22,28-Dec-23,Critical,SHOP,Shop,CNLC-FST
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPS,SM,SM-293971,12 Month,29-Mar-22,Critical,,(Not Applicable),Non Compliance,(Not Applicable),Ignore Case,,(Not Applicable),(Not Applicable),,(Not Applicable),(Not Applicable),Ignore Case,SHOP,Shop,CNLC-FST
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPS,SM,SM-302776,12 Month,21-Feb-23,Compliance,,(Not Applicable),Non Compliance,(Not Applicable),Ignore Case,,(Not Applicable),(Not Applicable),,(Not Applicable),(Not Applicable),Ignore Case,SHOP,Shop,CNLC-FST
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPS,SM,SM-GR-134002,12 Month,21-Feb-23,Compliance,,(Not Applicable),Non Compliance,(Not Applicable),Ignore Case,,(Not Applicable),(Not Applicable),,(Not Applicable),(Not Applicable),Ignore Case,SHOP,Shop,CNLC-FST
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPS,TN5190B-S,B7481,,(No Record),Non Compliance,36 Month,21-Aug-22,Compliance,24-Aug-22,Compliance,3Month,28-Dec-22,28-Mar-23,12Month,28-Dec-22,28-Dec-23,Critical,SHOP,Shop,CNLC-FST
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPS,TN5190B-S,B7878,,(No Record),Non Compliance,36 Month,24-Aug-22,Compliance,24-Aug-22,Compliance,3Month,28-Dec-22,28-Mar-23,12Month,28-Dec-22,28-Dec-23,Critical,SHOP,Shop,CNLC-FST
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPS,TN5190B-S,B7930,,(No Record),Non Compliance,36 Month,27-Oct-22,Compliance,27-Oct-22,Compliance,3Month,28-Dec-22,28-Mar-23,12Month,28-Dec-22,28-Dec-23,Critical,SHOP,Shop,CNLC-FST
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPS,TN5190B-S,B8008,,(No Record),Non Compliance,36 Month,27-Oct-22,Compliance,27-Oct-22,Compliance,3Month,28-Dec-22,28-Mar-23,12Month,28-Dec-22,28-Dec-23,Critical,SHOP,Shop,CNLC-FST
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPS,TN5190B-S,B8027,,(No Record),Non Compliance,36 Month,7-May-20,Compliance,7-May-20,Compliance,3Month,28-Dec-22,28-Mar-23,12Month,28-Dec-22,28-Dec-23,Critical,SHOP,Shop,CNLC-FST
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPS,TN5190B-S,B8028,,(No Record),Non Compliance,36 Month,7-May-20,Compliance,7-May-20,Compliance,3Month,28-Dec-22,28-Mar-23,12Month,28-Dec-22,28-Dec-23,Critical,SHOP,Shop,CNLC-FST
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPS,TN5190B-S,B8249,,(No Record),Non Compliance,36 Month,9-Apr-20,Critical,9-Apr-20,Compliance,3Month,2-Aug-22,2-Nov-22,12Month,22-Dec-21,22-Dec-22,Non Compliance,SHOP,Shop,CNLC-FST
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPS,TN5190B-S,B8250,,(No Record),Non Compliance,36 Month,28-Nov-20,Compliance,30-Nov-20,Compliance,3Month,28-Dec-22,28-Mar-23,12Month,28-Dec-22,28-Dec-23,Critical,SHOP,Shop,CNLC-FST
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPS,TN5190B-S,B8392,,(No Record),Non Compliance,36 Month,9-Apr-20,Critical,9-Apr-20,Compliance,3Month,28-Dec-22,28-Mar-23,12Month,28-Dec-22,28-Dec-23,Critical,SHOP,Shop,CNLC-FST
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPS,TN5190B-S,B8406,,(No Record),Non Compliance,36 Month,28-Nov-20,Compliance,30-Nov-20,Compliance,3Month,28-Dec-22,28-Mar-23,12Month,28-Dec-22,28-Dec-23,Critical,SHOP,Shop,CNLC-FST
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,RPS,TN5192B-NS,B7425,,(No Record),Non Compliance,36 Month,27-Oct-22,Compliance,27-Oct-22,Compliance,3Month,28-Dec-22,28-Mar-23,12Month,28-Dec-22,28-Dec-23,Critical,SHOP,Shop,CNLC-FST
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,WCM,GSR-BI,1423-5-15,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,15-Feb-23,15-May-23,12Month,9-Sep-22,9-Sep-23,Compliance,,Shop,ASIA-CHG-CHCTLM
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,WCM,GSR-D,068-26,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,24-Dec-22,24-Mar-23,12Month,24-Dec-22,24-Dec-23,Non Compliance,,Shop,ASIA-CHG-CHCTLM
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,WCM,GSR-D,073-05,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,15-Feb-23,15-May-23,12Month,9-Sep-22,9-Sep-23,Compliance,,Shop,ASIA-CHG-CHCTLM
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,WCM,RPED-AA,1940843,12 Month,16-Feb-23,Compliance,,(Not Applicable),Non Compliance,(Not Applicable),Ignore Case,,(Not Applicable),(Not Applicable),,(Not Applicable),(Not Applicable),Ignore Case,RA meter sotrage area,Shop,ASIA-CHG-CHCTLM
ASIA-ASIA,CHG,China,Chengdu OFS Base - 560,WCM,RPED-AA,1940853,12 Month,16-Feb-23,Compliance,,(Not Applicable),Non Compliance,(Not Applicable),Ignore Case,,(Not Applicable),(Not Applicable),,(Not Applicable),(Not Applicable),Ignore Case,RA meter sotrage area,Shop,ASIA-CHG-CHCTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-602-2174,98681,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,10-Oct-19,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,CHSTLM-LWD IST,Shop,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-602-2174,I2-692,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,21-Aug-19,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,Receiving,Shop,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-602-2174,I3-442,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,8-Aug-19,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,Receiving,Shop,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-602-2174,I3-471,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,8-Aug-19,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,Receiving,Shop,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-602-2174,I3-483,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,21-Aug-19,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,Receiving,Shop,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-602-2174,J7-636,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,24-Aug-21,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,CHSTLM-LWD IST,Shop,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-602-2174,Q3-991,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,21-Oct-21,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,,Job,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-H343123,E4-206,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,13-Mar-23,13-Jun-23,,(No Record),(Not Applicable),Compliance,Receiving,Shop,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-H343123,J4-773,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,11-Feb-23,11-May-23,,(No Record),(Not Applicable),Compliance,CHSTLM-LWD IST,Shop,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-H343123,J7-618,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,20-Dec-22,20-Mar-23,,(No Record),(Not Applicable),Non Compliance,,Job,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-H343123,J7-626,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,13-Mar-23,13-Jun-23,,(No Record),(Not Applicable),Compliance,CHSTLM-LWD IST,Shop,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-H343123,J9-210,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,22-Jan-23,22-Apr-23,,(No Record),(Not Applicable),Action Needed,,Job,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-H343123,K7-728,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,13-Mar-23,13-Jun-23,,(No Record),(Not Applicable),Compliance,CHSTLM-LWD IST,Shop,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-H343123,K7-729,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,11-Feb-23,11-May-23,,(No Record),(Not Applicable),Compliance,CHSTLM-LWD IST,Shop,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-H343123,L9-082,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,25-Jan-23,25-Apr-23,,(No Record),(Not Applicable),Action Needed,,Job,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-H343123,L9-089,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,11-Feb-23,11-May-23,,(No Record),(Not Applicable),Compliance,CHSTLM-LWD IST,Shop,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-H343123,M1-408,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,11-Feb-23,11-May-23,,(No Record),(Not Applicable),Compliance,CHSTLM-LWD IST,Shop,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-H343123,M1-422,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,19-Mar-23,19-Jun-23,,(No Record),(Not Applicable),Compliance,CHSTLM-LWD IST,Shop,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-H343123,M1-431,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,11-Feb-23,11-May-23,,(No Record),(Not Applicable),Compliance,CHSTLM-LWD IST,Shop,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-H343123,M1-435,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,13-Mar-23,13-Jun-23,,(No Record),(Not Applicable),Compliance,,Shop,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-H343123,Q7-790,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,13-Mar-23,13-Jun-23,,(No Record),(Not Applicable),Compliance,CHSTLM-LWD IST,Shop,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-H343123,Q7-791,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,13-Mar-23,13-Jun-23,,(No Record),(Not Applicable),Compliance,CHSTLM-LWD IST,Shop,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-H343123,Q7-794,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,24-Jan-23,24-Apr-23,,(No Record),(Not Applicable),Action Needed,CHSTLM-LWD IST,Shop,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-H343123,Q7-801,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,11-Feb-23,11-May-23,,(No Record),(Not Applicable),Compliance,CHSTLM-LWD IST,Shop,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-H343123,R6-426,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,13-Mar-23,13-Jun-23,,(No Record),(Not Applicable),Compliance,,Shop,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-H619737,I6-002,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,18-Sep-20,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,,Job,ASIA-CHG-CHSTLM
ASIA-ASIA,CHG,China,Huizhou Radioactive Warehouse - 18099,WCM,EQ-H619737,I6-006,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,26-Jun-18,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,Receiving,Shop,ASIA-CHG-CHSTLM
